PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Total_Coating_Steps,Total_Coating_Steps_Group,Covalent,Electrostatic,Targeting_Type,Bioconjugation_nature,Bioconjugation_tech,PEG_Coat,PEG_Coat_tech,Loading,Loading_Number,Drug type,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation_(%)_group,Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4,Combined_Imaging_Applications,Combined_Therapy_Applications,Combined_Applications,Combined_Applications_Grouped
16734494,J Am Chem Soc,2006,10.1021/ja061529k,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer,1,3,Medium,0,3,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,15,NA,NA,NA,NA,NA,Xenograft heterotopic,NA,Other,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
17530850,J Am Chem Soc,2007,10.1021/ja071471p,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,,133,4,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Liver,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,CT,None,None,None,1,0,1,Regular
17892287,J Am Chem Soc,2007,10.1021/ja072210i,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer,>1,6,High,5,1,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Lung,,1,Single,NA,NA,NA,NA,NA,NA,Lung,Liver,Kidney,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
17962085,Nanomedicine,2007,10.1016/j.nano.2007.09.001,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,16,3,NA,2.56,Yes,NA,Allograft orthotopic,Immunocompetent,Skin,,1,Single,NA,NA,4176.2,2826.6,1476.6,Very High,Spleen,Lung,Liver,None,None,None,None,Diagnostic,Other,None,None,None,1,0,1,Regular
17964647,Biomaterials,2008,10.1016/j.biomaterials.2007.08.050,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
18232053,Small,2008,10.1002/smll.200700784,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-peptide,>1,5,High,5,0,Active,Covalent,Covalent - Sn2,PEGylated,Covalent - Silane,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
18551493,Angew Chem Int Ed Engl,2008,10.1002/anie.200800857,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer-Drugs,>1,4,Medium,2,2,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,Anthracycline,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Lung,,6,Multiple,64.15101721,Low,NA,NA,NA,NA,Liver,Kidney,Lung,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
18642918,J Am Chem Soc,2008,10.1021/ja801631c,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,3,Medium,2,1,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,Fluorescence,None,None,None,1,1,2,Regular
18676207,Nanomedicine,2008,10.1016/j.nano.2008.05.004,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Antibody,1,4,Medium,2,2,Active,Covalent,Covalent - In_Shell,Non PEGylated,None,Other,>1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Pancreas,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None,1,0,1,Regular
18817971,Biomaterials,2008,10.1016/j.biomaterials.2008.08.038,Inorganic,Gold,Local,Intratumoral,NA,NA,Spherical,Vitamins,1,4,Medium,4,0,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Ovary,,1,Single,NA,NA,157.5,45.2,26,Medium,Liver,Spleen,Lung,None,None,None,None,Diagnostic,Fluorescence,None,None,None,1,0,1,Regular
18500805,J Am Chem Soc,2008,10.1021/ja802003h,Inorganic,Iron_oxide,Systemic,IV,1,NA,Spherical,Peptide,1,2,Low,1,1,Active,Covalent,Covalent - Imine-like,Non PEGylated,None,None,None,,NA,NA,Yes,NA,NA,NA,Xenograft orthotopic,NA,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
19072129,Nano Lett,2009,10.1021/nl802915q,Inorganic,Gold,Systemic,IV,NA,NA,Rod,Polymer-mAb,>1,3,Medium,3,0,Active,Covalent,Covalent - EDC,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal B,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
19089838,Small,2009,10.1002/smll.200800714,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-mAb,>1,5,High,3,2,Active,Covalent,Covalent - EDC,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Pancreas,,1,Single,NA,NA,NA,NA,NA,NA,Liver,Spleen,Brain,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
19131103,Biomaterials,2009,10.1016/j.biomaterials.2008.12.038,Inorganic,Gold,Systemic,IV,2,Neutral,Spherical,Polymer,>1,6,High,4,2,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,6.63,Yes,1,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,457.2,228.2,68.9,High,Liver,Spleen,Kidney,None,None,None,None,Diagnostic,Other,None,None,None,1,0,1,Regular
19263431,Small,2009,10.1002/smll.200801789,Inorganic,Iron_oxide,Systemic,IV,2,NA,Other,Polymer-peptide,>1,6,High,6,0,Active,Covalent,Covalent - Maleimide,PEGylated,Covalent - NHS,None,None,,NA,NA,NA,5.53,Yes,3,Xenograft orthotopic,Immunocompromised,Breast,Triple-negative,1,Single,NA,NA,283.5443038,205.244123,28.93309222,High,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,Fluorescence,None,None,None,1,0,1,Regular
19508879,J Control Release,2009,10.1016/j.jconrel.2009.05.035,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Peptide,1,2,Low,2,0,Active,Covalent,Covalent - EDC,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,None,None,None,Theragnostic,Fluorescence,None,None,None,1,1,2,Regular
19524625,J Control Release,2009,10.1016/j.jconrel.2009.06.002,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer,>1,2,Low,1,1,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Pancreas,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
19619590,J Control Release,2009,10.1016/j.jconrel.2009.07.007,Inorganic,Gold,Systemic,IV,NA,NA,Spherical,Polymer-Affibody,>1,4,Medium,4,0,Active,Covalent,Covalent - EDC,PEGylated,Covalent - In_Shell,None,None,,5,1,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Lung,,1,Single,67.04093,Low,NA,NA,NA,NA,NA,NA,NA,Radiotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
19773081,Biomaterials,2009,10.1016/j.biomaterials.2009.08.045,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Proteins,>1,5,High,3,2,Active,Covalent,Covalent - Maleimide,Non PEGylated,None,None,None,,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,NA,NA,NA,NA,NA,NA,Kidney,Liver,Lung,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
19782394,Biomaterials,2009,10.1016/j.biomaterials.2009.08.040,Inorganic,Iron_oxide,Systemic,IV,4,NA,Spherical,Polymer-Proteins,>1,5,High,3,2,Passive,None,None,PEGylated,Electrostatic,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
19783295,Biomaterials,2009,10.1016/j.biomaterials.2009.09.004,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Other,1,3,Medium,1,2,Passive,None,None,PEGylated,Covalent - In_Shell,Other,1,,NA,NA,NA,NA,NA,1,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,562.8571429,162.8571429,50.47619048,Very High,Liver,Kidney,Lung,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
19915570,Nat Nanotechnol,2009,10.1038/nnano.2009.333,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Vitamins,>1,5,High,2,3,Active,Electrostatic,Electrostatic,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Photoacoustic,None,None,None,1,0,1,Regular
19878991,Biomaterials,2010,10.1016/j.biomaterials.2009.09.091,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,HER2-enriched,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
19914401,Nanomedicine,2010,10.1016/j.nano.2009.11.001,Inorganic,Gold,Local,Intratumoral,2,Negative,Spherical,Proteins,>1,2,Low,0,2,Passive,None,None,Non PEGylated,None,NA,NA,,NA,NA,NA,19.9,Yes,NA,Xenograft heterotopic,Immunocompromised,Prostate,,1,Single,82.55814,Medium,4.6,0.7,0.5,Low,Liver,Kidney,Intestine,Radiotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
20017538,J Am Chem Soc,2010,10.1021/ja905793q,Inorganic,Hybrid,Systemic,IV,2,NA,Spherical,Polymer,>1,5,High,3,2,Passive,None,None,PEGylated,Covalent - NHS,Drugs,>1,Anthracycline,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None,2,1,3,High
20092887,Biomaterials,2010,10.1016/j.biomaterials.2010.01.010,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Proteins-Drugs,>1,3,Medium,1,2,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,8.45,Yes,NA,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,NA,NA,NA,NA,NA,NA,Liver,Spleen,Kidney,None,None,None,None,Diagnostic,MRI,PET,Other,None,3,0,3,High
20180585,ACS Nano,2010,10.1021/nn901297q,Inorganic,Silica,Systemic,IV,2,Neutral,Spherical,Polymer-proteins,>1,3,Medium,3,0,Active,Covalent,Others,PEGylated,Covalent - EDC,Other,1,,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Pancreas,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Other,None,None,None,1,0,1,Regular
20183810,Small,2010,10.1002/smll.200901557,Inorganic,Hybrid,Systemic,IV,3,NA,Spherical,Polymer,1,1,Low,1,0,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Colon,,1,Single,NA,NA,1838.292683,151.3865935,13.40348541,Very High,Spleen,Liver,Muscle,Photothermal therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
20232826,ACS Nano,2010,10.1021/nn100190v,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-Drugs,>1,5,High,5,0,Active,Covalent,Covalent - Sn2,PEGylated,Covalent - EDC,None,None,,10,2,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,NA,NA,NA,NA,Liver,Kidney,Spleen,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
20434209,Biomaterials,2010,10.1016/j.biomaterials.2010.03.072,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Other,>1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
