Subtype,Route,Sub-route,Shape,Tumor_model,Cancer_type,Tumor_Vol_Reduction_(%)
Gold,Systemic,Sub-cutaneous,Spherical,Xenograft heterotopic,Skin,84.0978352
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Prostate,84.68426835
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,100
Gold,Systemic,IV,Other,Xenograft heterotopic,Brain,95.95885378
Gold,Local,Intratumoral,Spherical,Xenograft orthotopic,Breast,97.25525784
Gold,Systemic,Intratumoral,Spherical,Xenograft orthotopic,Liver,87.92497069
Gold,Systemic,IV,Rod,Xenograft heterotopic,Breast,98.90333901
Gold,Systemic,Intratumoral,Spherical,Allograft heterotopic,Breast,96.12531529
Gold,Local,Intratumoral,Plate,Xenograft heterotopic,Prostate,89.47368421
Gold,Systemic,IV,Rod,Xenograft heterotopic,Oral,99.70257819
Gold,Systemic,IV,Other,Xenograft heterotopic,Breast,100
Gold,Local,Intratumoral,Rod,Xenograft heterotopic,Liver,92.32227488
Gold,Systemic,IV,Rod,Xenograft heterotopic,Breast,99.66883449
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Skin,97.62711864
Gold,Systemic,IV,Other,Xenograft heterotopic,Liver,87.03703704
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,76.63495838
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Gastric,61.50950455
Gold,Systemic,IV,Rod,Allograft heterotopic,Breast,99.69909729
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,50
Gold,Systemic,Oral,Spherical,Xenograft orthotopic,Oral,85.48351888
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,63.2
Gold,Systemic,IV,Other,Xenograft orthotopic,Brain,77.64932563
Gold,Local,Hydrogel,Spherical,Xenograft heterotopic,Breast,97.86535304
Gold,Systemic,IV,Rod,Xenograft heterotopic,Other,99.68137971
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Colon,93
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Breast,98.6417657
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Lung,84.99878957
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,96.00704751
Gold,Systemic,IV,Other,Allograft heterotopic,Breast,56.89655172
Gold,Systemic,IV,Other,Xenograft heterotopic,Other,97.96186719
Gold,Systemic,IV,Spherical,Xenograft orthotopic,Brain,82.57275197
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,72.75902212
Gold,Systemic,IP,Spherical,Xenograft heterotopic,Cervix,94.99059514
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,98.85328836
Gold,Local,Intratumoral,Spherical,Allograft heterotopic,Colon,71.78970308
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Skin,79.63565387
Gold,Systemic,IV,Rod,Xenograft heterotopic,Breast,82.57275197
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Brain,98.49121939
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Liver,79.0961389
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Pancreas,72.05882353
Gold,Systemic,Oral,Spherical,Chemically-induced,Liver,55
Gold,Systemic,IV,Rod,Allograft heterotopic,Breast,93.08281141
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,97.26150481
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Brain,53.5472973
Gold,Local,Intratumoral,Rod,Allograft heterotopic,Breast,86.72367902
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,99.97032641
Gold,Systemic,IV,Rod,Xenograft heterotopic,Prostate,30.87248322
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,97.92412312
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,86.44067797
Gold,Systemic,IV,Rod,Xenograft heterotopic,Pancreas,82.95449715
Gold,Systemic,IV,Rod,Xenograft heterotopic,Liver,98.31932773
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,88.23031329
Gold,Local,Intratumoral,Spherical,Allograft heterotopic,Breast,69.31298085
Gold,Systemic,IV,Spherical,Allograft heterotopic,Breast,92.58446763
Gold,Local,Intratumoral,Star,Xenograft heterotopic,Cervix,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,85.19482275
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,47.9076269
Gold,Systemic,IV,Spherical,Xenograft orthotopic,Pancreas,96.54173243
Gold,Systemic,IV,Rod,Allograft heterotopic,Breast,93.9499953
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,6.818181818
Gold,Local,IV,Spherical,Xenograft heterotopic,Skin,53.51589298
Gold,Systemic,IV,Spherical,Xenograft orthotopic,Breast,99.8245614
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Colon,74.60632586
Gold,Systemic,IP,Spherical,Xenograft orthotopic,Pancreas,69.62833914
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Brain,96.2099598
Gold,Local,Intratumoral,Rod,Xenograft heterotopic,Liver,95
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,52.10128032
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,94.3877551
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,79.49982388
Gold,Systemic,IV,Other,Xenograft heterotopic,Brain,99.48263119
Gold,Systemic,IV,Rod,Allograft heterotopic,Breast,78.99528399
Gold,Systemic,IV,Triangle,Xenograft heterotopic,Brain,26.35253054
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,75.14792899
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,47.74576343
Gold,Systemic,IV,Other,Xenograft heterotopic,Colon,62.69430052
Gold,Systemic,IV,Spherical,Allograft orthotopic,Skin,95.55820286
Gold,Systemic,IV,Other,Xenograft heterotopic,Breast,76.34408602
Gold,Local,Intratracheal instillation,Spherical,Allograft orthotopic,Lung,85
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,93.47826087
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,94.15489637
Gold,Local,Intratumoral,Spherical,Xenograft orthotopic,Skin,80.90208656
Gold,Local,Intratumoral,Other,Allograft orthotopic,Oral,59.08303864
Gold,Systemic,IV,Other,Xenograft heterotopic,Brain,95.85081585
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Breast,95.60540616
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Other,70.88948787
Gold,Systemic,IV,Rod,Allograft heterotopic,Breast,86.93972179
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Lung,91.25507442
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,62.93995859
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,99.6015551
Gold,Local,Intratumoral,Other,Allograft heterotopic,Breast,98.50448654
Gold,Systemic,IV,Spherical,Xenograft orthotopic,Breast,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Colon,76.21254154
Gold,Systemic,IV,Spherical,Allograft heterotopic,Breast,95.87194608
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,47.22222222
Gold,Systemic,Sub-cutaneous,Spherical,Allograft orthotopic,Skin,98.29894313
Gold,Systemic,IV,Spherical,Allograft heterotopic,Breast,92.77135835
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Liver,99.79585341
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,95.62607204
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Prostate,82.55813953
Gold,Systemic,IV,Spherical,Allograft orthotopic,Skin,99.65543232
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,37.74834437
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Other,100
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,98.12734082
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Lung,91.12746573
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,99.64705882
Gold,Systemic,IV,Other,Xenograft heterotopic,Breast,64.09
Gold,Systemic,Sub-cutaneous,Spherical,Xenograft heterotopic,Liver,77.76036942
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Ovary,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,82.42004482
Gold,Systemic,IV,Other,Allograft heterotopic,Breast,88.01843318
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,22.02797203
Gold,Systemic,IV,Rod,Xenograft heterotopic,Oral,100
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Oral,24.31507276
Gold,Systemic,IV,Star,Xenograft heterotopic,Breast,96.9348659
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,97.72077786
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Liver,97.23127036
Gold,Systemic,IV,Rod,Xenograft heterotopic,Cervix,94.13118527
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Other,81.63265306
Gold,Systemic,IV,Spherical,Allograft heterotopic,Colon,58.7392916
Gold,Local,Intratumoral,Spherical,Xenograft heterotopic,Brain,96.71490027
Gold,Local,Intratumoral,Spherical,Allograft heterotopic,Cervix,79.65
Gold,Local,Intratumoral,Other,Xenograft heterotopic,Pancreas,84.22424204
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,87.66784875
Gold,Local,Intratumoral,Rod,Allograft heterotopic,Lung,100
Gold,Systemic,IV,Cube,Allograft heterotopic,Breast,99.23780488
Gold,Systemic,IV,Rod,Xenograft heterotopic,Breast,100
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Other,88.77677326
Gold,Systemic,IV,Star,Xenograft heterotopic,Brain,100
Gold,Systemic,IV,Spherical,Allograft heterotopic,Breast,98.55297158
Gold,Systemic,IV,Rod,Allograft orthotopic,Skin,99.93631925
Gold,Systemic,IV,Star,Xenograft heterotopic,Breast,99.23896499
Gold,Local,Sub-cutaneous,Spherical,Allograft heterotopic,Other,97.57473209
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Breast,92.47329631
Gold,Systemic,IV,Spherical,Xenograft heterotopic,Brain,99.41137999
