PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Details sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core /NPs  or vesicles,Core (details),Dose_(mg/kg),Dose_other data,IC50 ,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined therapies ,Detail Combined strategy,Study strategy,Detail study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon
29890363,Biomaterials,2018,10.1016/j.biomaterials.2018.05.048,Inorganic,Iron_oxide,Local,Intratumoral,,100,,No info,Spherical,None,,Drugs,Olaparib,Iron oxide,,5,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,65.85177631,,,,,,,Chemotherapy,,Theragnostics,,CT imaging,619.5,1814.15,65.85177631,,,,,,,,,,,,,,,,,,,,,
27668795,Nat Nanotechnol,2016,10.1038/nnano.2016.168,Inorganic,Iron_oxide,Local,Other,,30,,No info,Spherical,Polymer,Dextran,None,,Iron oxide,,,"Dose: 13,7 Fe mg/kG",No info,No info,No info,No info,Allograft orthotopic,Breast,1,52.50532018,,,,,,,,,Theragnostics,,MR imaging,245.5,516.9,52.50532018,,,,,,,,,,,,,,,,,,,,,
30346694,ACS Nano,2018,10.1021/acsnano.8b02587,Inorganic,Iron_oxide,Systemic,IV,,97,,-29.2,Spherical,Nucleic acid,TEVs-Cy5-anti-miRNA-21-coated GIONs,None,,Iron oxide,Gold-Iron oxide,,3 × 10e11 particles in 150 uL,No info,No info,No info,No info,Allograft heterotopic,Breast,3,77.87901797,209.125,63.625,41,Liver,Spleen,Brain,Laser irradiation + Gene therapy,PTT - attenuated DOX resistance (dox was also administered without NPs),Theragnostics,DOX - Parallel,MR imaging,87.4,395.1,77.87901797,0.85,1.21,16.73,5.09,3.03,3.28,2.3,,,,8,10.625,15.125,209.125,63.625,37.875,41,28.75,0,0,0
29982104,Biomaterials,2018,10.1016/j.biomaterials.2018.06.029,Inorganic,Iron_oxide,Systemic,IV,,120.7,,-25.4,Spherical,Peptide,RGE peptide,Drugs,Curcumin + IO,Iron oxide,Raw264.7 cell-derived exosomes loaded with IO + curcumin,106,,"14, 76 ug/mL Cur",No info,No info,No info,Xenograft orthotopic,Brain,7,97.70642202,,,,,,,Magnetic Field + Chemotherapy,,Theragnostics,,MR imaging,1.658374793,72.30514096,97.70642202,,,,,,,,,,,,,,,,,,,,,
31326525,Nanomedicine,2019,10.1016/j.nano.2019.102063,Inorganic,Iron_oxide,Systemic,IV,,160,,61.7,Spherical,Polymer,Polyethylenimine,None,,Iron oxide,,,"Dose: 1,2 mg Fe/kG",No info,No info,No info,No info,Xenograft heterotopic,Breast,4,14.28592566,,,,,,,,,Therapy,Anti-angiogeneic,None,1737.93,2027.59,14.28592566,,,,,,,,,,,,,,,,,,,,,
30287265,J Control Release,2018,10.1016/j.jconrel.2018.09.031,Inorganic,Iron_oxide,Systemic,IV,,61.16,,-6.93,Spherical,Proteins,Hormone (RLX),None,,Iron oxide,,,"Dose: 0,02 mg RLX /kG",No info,No info,No info,No info,Xenograft heterotopic,Pancreas,11,31.14035088,,,,,,,,,Therapy,significantly induced the effect of gemcitabine,None,157,228,31.14035088,,,,,,,,,,,,,,,,,,,,,
31393496,Nanoscale,2019,10.1039/c9nr04768a,Inorganic,Iron_oxide,Systemic,IV,,290,,-28.5,Other,Polymer-Drugs,Manganese Oxide + PEG + Ce6 + Curcumin,None,,Iron oxide,,20,,No info,No info,No info,No info,Xenograft heterotopic,Cervix,3,92.39001189,,,,Liver,,,Photodynamic + Chemotherapy,,Theragnostics,,MRI + Fluorescence,0.64,8.41,92.39001189,,,,,,,,,,,,,,,,,,,,,
31074627,Nano Lett,2019,10.1021/acs.nanolett.9b00630,Inorganic,Iron_oxide,Local,Intratumoral,,,without coating: 33 nm,-4.68,Spherical,Peptide,Penta-peptide CREKA ,None,,Iron oxide,,,"1,5 mg Ios / kG",No info,No info,No info,No info,Allograft orthotopic,Breast,1,98.52952465,,,,,,,Magnetic Field,,Theragnostics,,MR imaging,17.24,1172.41,98.52952465,,,,,,,,,,,,,,,,,,,,,
29935333,Nanomedicine,2018,10.1016/j.nano.2018.05.020,Inorganic,Iron_oxide,Systemic,IV,,187.83,,"-9,57",Spherical,Antibody,A33 antibodies,Drugs,Doxorubicin,Iron oxide,Complex A33Ab-iron oxide bind to Exosomes loaded with Dox,,5 mg/ kG of DOX,No info,No info,No info,No info,Xenograft heterotopic,Colon,4,82.9258696,,,,Liver,Lung,,,,Therapy,,None,160.56,940.37,82.9258696,,,,,,,,,,,,,,,,,,,,,
23758591,ACS Nano,2013,10.1021/nn4018922,Inorganic,Iron_oxide,Systemic,IV,,48.7,,"-44,5",Spherical,Polymer-mAb,transtuzumab (TZ) Ab + PMA,None,,Iron oxide,,5,,No info,No info,No info,No info,Xenograft orthotopic,Breast,1,#DIV/0!,,,,Liver,Kidney,,,,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
