PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,Core details,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor volume (control),Tumor volume (treated),Tumor_Vol_Reduction_(%),Tumor Accumulation,Muscle Accumulation,Muscle (%),Heart Accumulation,Heart (%),Liver Accumulation,Liver (%),Spleen Accumulation,Spleen (%),Lung Accumulation,Lung (%),Brain Accumulation,Brain (%),Kidney  Accumulation,Kidney (%),Bladder Accumulation,Bladder (%),Skin Accumulation,Skin (%),Intestine Accumulation,Colon (%),Stomach Accumulation,Stomach (%),Off_target_1_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation_(%),Off_target_2_accumulation,Off_target_3_accumulation_(%),Off_target_3_accumulation,Study strategy,Therapy,Imaging,Notes
29282854,Angew Chem Int Ed Engl,2018,10.1002/anie.201708689,Inorganic,Gold,Systemic,Sub-cutaneous,101.2,,36.4,Spherical,Polymer-peptide,"TAT peptide + cas9-Plk-1 + Lipid (DOTAP, DOPE, Cholesterol) + PEG-DSPE",None,,Gold,,0.333,,,,,,Xenograft heterotopic,Skin,10,1013.95,161.24,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Laser irradation,None,
29641905,ACS Nano,2018,10.1021/acsnano.8b00940,Inorganic,Gold,Systemic,IV,26.5,,-20,Spherical,Polymer-Proteins,PEG + Prostate Specific Membrane Antigen-1 (PSMA-1),Drugs,Silicon Phthalocyanine (Pc4),Gold,,0.07 (drug dose),,0.17 nM,,,,Xenograft heterotopic,Prostate,1,1146.86,175.65,84.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photodynamic therapy,Fluorescence,
30346694,ACS Nano,2018,10.1021/acsnano.8b02587,Inorganic,Gold,Systemic,Sub-cutaneous,88,,-29.2,Spherical,Proteins,Tumor cell-derived extracellular vesicles,Nucleic acids,Cy5-Anti-miR-21,Alloy,Iron oxide with a gold layer,,3 × 10^11 particles + 5 mg/kg Doxorubicin,,,,,Xenograft heterotopic,Breast,3,,,,7.96,1.02,12.81,1.24,15.58,16.72,210.05,5.16,64.82,3.23,40.58,3.39,42.59,2.37,29.77,,,,,,,,0,210.05,Liver,64.82,Spleen,42.59,Brain,Theragnostics,Gene therapy + Chemotherapy,MR imaging,
28263051,ACS Appl Mater Interfaces,2017,10.1021/acsami.6b16486,Inorganic,Gold,Systemic,IV,188,,-42,Spherical,Polymer,LA-PEG-MTX,Drugs,Methotrexate,Alloy,Fe3O4 NPs + Gold shell encapsulation,5 (drug dose),,,28.77,2.9,,Xenograft heterotopic,Breast,2,,,100,28.77,5.52,19.19,3.48,12.1,23.32,81.06,9.82,34.13,6.75,23.46,,,9.1,31.63,,,4.09,14.22,3.67,12.76,4.91,17.07,81.06,Liver,34.13,Spleen,31.63,Kidney,Theragnostics,Photothermal + Chemotherapy,MR imaging,
28605594,ACS Nano,2017,10.1021/acsnano.7b02048,Inorganic,Gold,Systemic,IV,72,,,Other,Polymer,"Poly(N-isopropylacrylamide-
co-acrylamide (PNIPAm-co-Aam) + PEG",Drugs,Doxorubicin,Gold,,,2 mg/ml (not specificed if it is the drug dose),,10.5,20,,Xenograft heterotopic,Brain,1,13.61,0.55,96,24.22,,,,,10.88,44.92,,,,,,,,,,,,,,,,,44.92,Liver,,,,,Therapy,Photothermal + Chemotherapy,PET + Photoacoustic,
30020768,ACS Nano,2018,10.1021/acsnano.8b00204,Inorganic,Gold,Local,Intratumoral,500,,,Spherical,None,Hollow gold nanoshell,Peptides,Anti-PD1 peptide,Polymer,PLGA,,1 mg anti-PD1 peptide + 0.5 mg hollow gold nanoshell,,,,,Xenograft orthotopic,Breast,1,628.11,17.24,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laser irradiation + Immunotherapy,,
30778211,Nat Nanotechnol,2019,10.1038/s41565-019-0373-6,Inorganic,Gold,Systemic,Intratumoral,4.04,,30,Spherical,Other,Triphenylphosphine + cinnamaldehyde,None,,Alloy,carbon dot supported attomically dispersed gold,2133,64 ug/mouse,,,,,Xenograft orthotopic,Liver,8,682.4,82.4,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Other,None,
31259530,ACS Nano,2019,10.1021/acsnano.9b00097,Inorganic,Gold,Systemic,IV,70,,24.3,Rod,Drugs,Zoledronic acid,None,,Silica,Gold nanorods enclosed inside mesoporous silica NPs,2,,> 500 μg/mL,,,,Xenograft heterotopic,Breast,4,1937.7,21.25,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal,Photoacoustic,
30548064,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b18288,Inorganic,Gold,Systemic,IV,3.08,,-34.2,Spherical,Nucleic acid,MALAT1-specific antisense oligonucleotide,None,,Gold,,,Equivalent to 100 ug of antisense oligonucleotide,,,,,Xenograft heterotopic,Lung,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Gene therapy,,
31553168,ACS Nano,2019,10.1021/acsnano.9b06040,Inorganic,Gold,Systemic,Intratumoral,,,,Spherical,Other,Liposome,None,,Gold,,,,,,25,,Allograft heterotopic,Breast,3,1074.41,41.63,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal,,
