PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy,Study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Obs,Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon,,,,,,,,,,,,,,,,,,,,,,,
25776964,ACS Nano,2015,10.1021/acsnano.5b00510,Inorganic,Silica,Systemic,IV,65,,-27.2,Spherical,Polymer,Lipid-PEG (DDPC/Cholesterol/DSPE-PEG),Drugs,Gemcitabine/Paclitaxel,Silica,,250,,5.2,,,,Xenograft orthotopic,Pancreas,6,84.64566929,12.5,3.5,4,liver,spleen,kidney,Chemotherapy,Therapy,,156,1016,84.64566929,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30692675,Nat Nanotechnol,2019,10.1038/s41565-018-0356-z,Inorganic,Silica,Systemic,IV,20,,-20,Spherical,None,Effect of NP on intravasation and extravasation,None,,Silica,,10,,,,,,Xenograft heterotopic,Breast,10,#DIV/0!,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29422620,Nat Commun,2018,10.1038/s41467-018-02915-8,Inorganic,Silica,Systemic,IV,35,,-24.9,Spherical,Other,Lipid (DPPC),Drugs,Doxorubicin/Irinotecan/paclitaxel,Silica,,3,,,,,,Xenograft heterotopic,Ovary,2,96.94444444,,,,,,,Chemotherapy,Therapy,,14.3,468,96.94444444,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31066542,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b04474,Inorganic,Silica,Local,Intratumoral,243,,40,Other,Polymer,Polyethyleneimine,nucleic acids,HNF4α-encoding plasmid/Cisplatin,Silica,,0.1,,,,,,Xenograft heterotopic,Liver,1,65.48856549,,,,,,,Chemotherapy,Therapy,,166,481,65.48856549,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31028887,Nanomedicine,2019,10.1016/j.nano.2019.03.013,Inorganic,Silica,Local,Intratumoral,N/A,,-10.7,Spherical,Nucleic acid,miRNA,None,,Silica,,20,,,,,,Xenograft orthotopic,Breast,6,44.1089402,,,,,,,,Therapy,,944,1689,44.1089402,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30417454,Adv Mater,2019,10.1002/adma.201803953,Inorganic,Silica,,,,Review,,,,Review,,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31058483,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b06034,Inorganic,Silica,Systemic,IV,208,,-22.6,Spherical,Polymer,Hyaluronic acid & Peptide,Proteins,Glucose Oxidase,Silica,,40,,,,,,Xenograft heterotopic,Cervix,6,78.5,,,,,,,,Therapy,,0.43,2,78.5,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31525949,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b12853,Inorganic,Silica,Systemic,Oral,164,,-3.9,Spherical,Other,Silica and Lactobacillus reuteri biofilm,Drugs,5-Fluorouracil,Other,,11.8,,,,,,Chemically-induced,Colon,11,43.58974359,,,,,,,Chemotherapy,Theragnostics,Other,4.4,7.8,43.58974359,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30487569,Nat Commun,2018,10.1038/s41467-018-07197-8,Inorganic,Silica,Systemic,IV,165,,-12.9,Spherical,Proteins,Cancer cell membrane / Glucose oxidase,Other,"bis[2,4,5-trichloro-6-(pentyloxycarbonyl)phenyl] oxalate (CPPO) and perfluorohexane (PFC) ",Silica,,40,,,,,,Allograft heterotopic,Other,1,100,,,,,,,Photodynamic therapy,Therapy,,0,60,100,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30803232,ACS Nano,2019,10.1021/acsnano.8b03788,Inorganic,Silica,Systemic,IV,90,,-12,Spherical,Other,Cancer cell membrane ,Proteins,Glucose Oxidase,Silica,,10,,,12.6,,,Allograft heterotopic,Skin,4,79.02597403,38,31,12,spleen,liver,lung,Combination with anti-PD-1,Therapy,,323,1540,79.02597403,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
