PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Loading,Loading_Number,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4
17530850,J Am Chem Soc,2007,10.1021/ja071471p,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,None,None,133,4,NA,NA,NA,NA,Allograft orthotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,CT,None,None,None
17892287,J Am Chem Soc,2007,10.1021/ja072210i,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Lung,1,Single,NA,NA,NA,NA,Lung,Liver,Kidney,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
17962085,Nanomedicine,2007,10.1016/j.nano.2007.09.001,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,None,None,16,3,NA,2.56,Yes,NA,Allograft orthotopic,Skin,1,Single,NA,4176.2,2826.6,1476.6,Spleen,Lung,Liver,None,None,None,None,Diagnostic,None,None,None,None
17964647,Biomaterials,2008,10.1016/j.biomaterials.2007.08.050,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
18232053,Small,2008,10.1002/smll.200700784,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-peptides,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
18551493,Angew Chem Int Ed Engl,2008,10.1002/anie.200800857,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Lung,6,Multiple,64.15101721,NA,NA,NA,Liver,Kidney,Lung,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
18642918,J Am Chem Soc,2008,10.1021/ja801631c,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,NA,NA,1,Single,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,Fluorescence,None,None,None
18676207,Nanomedicine,2008,10.1016/j.nano.2008.05.004,Inorganic,Iron_oxide,Systemic,IV,3,Positive,Spherical,Antibody,1,Other,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Pancreas,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None
18817971,Biomaterials,2008,10.1016/j.biomaterials.2008.08.038,Inorganic,Gold,Local,Intratumoral,NA,NA,Spherical,Vitamins,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Ovary,1,Single,NA,157.5,45.2,26,Liver,Spleen,Lung,None,None,None,None,Diagnostic,Fluorescence,None,None,None
19072129,Nano Lett,2009,10.1021/nl802915q,Inorganic,Gold,Systemic,IV,NA,NA,Rod,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None
19089838,Small,2009,10.1002/smll.200800714,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Pancreas,1,Single,NA,NA,NA,NA,Liver,Spleen,Brain,None,None,None,None,Diagnostic,MRI,None,None,None
19131103,Biomaterials,2009,10.1016/j.biomaterials.2008.12.038,Inorganic,Gold,Systemic,IV,2,Neutral,Spherical,Polymer,>1,None,None,NA,NA,NA,6.63,Yes,1,Xenograft heterotopic,Other,1,Single,NA,457.2,228.2,68.9,Liver,Spleen,Kidney,None,None,None,None,Diagnostic,Other,None,None,None
19263431,Small,2009,10.1002/smll.200801789,Inorganic,Iron_oxide,Systemic,IV,2,NA,Other,Polymer-peptides,>1,None,None,NA,NA,NA,5.53,Yes,3,Xenograft orthotopic,Breast,1,Single,NA,283.5443038,205.244123,28.93309222,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,Fluorescence,None,None,None
19508879,J Control Release,2009,10.1016/j.jconrel.2009.05.035,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Peptide,1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Skin,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Theragnostic,None,None,None,None
19524625,J Control Release,2009,10.1016/j.jconrel.2009.06.002,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Pancreas,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
19619590,J Control Release,2009,10.1016/j.jconrel.2009.07.007,Inorganic,Gold,Systemic,IV,NA,NA,Spherical,Polymer-Affibody,>1,None,None,5,1,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,67.04093,NA,NA,NA,NA,NA,NA,Radiotherapy,None,None,Single,Therapy,None,None,None,None
19773081,Biomaterials,2009,10.1016/j.biomaterials.2009.08.045,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Proteins,>1,None,None,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,Kidney,Liver,Lung,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
19782394,Biomaterials,2009,10.1016/j.biomaterials.2009.08.040,Inorganic,Iron_oxide,Systemic,IV,4,NA,Spherical,Polymer-Proteins,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
19783295,Biomaterials,2009,10.1016/j.biomaterials.2009.09.004,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Other,1,Nanoparticle,1,NA,NA,NA,NA,NA,1,Xenograft heterotopic,Other,1,Single,NA,562.8571429,162.8571429,50.47619048,Liver,Kidney,Lung,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
19878991,Biomaterials,2010,10.1016/j.biomaterials.2009.09.091,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,None,None,Nanoparticle,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,None,None,Single,Therapy,None,None,None,None
19914401,Nanomedicine,2010,10.1016/j.nano.2009.11.001,Inorganic,Gold,Local,Intratumoral,2,Negative,Spherical,Proteins,>1,NA,NA,NA,NA,NA,19.9,Yes,NA,Xenograft heterotopic,Prostate,1,Single,82.55814,4.6,0.7,0.5,Liver,Kidney,Intestine,Radiotherapy,None,None,Single,Therapy,None,None,None,None
19915570,Nat Nanotechnol,2009,10.1038/nnano.2009.333,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Vitamins,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Photoacoustic,None,None,None
20017538,J Am Chem Soc,2010,10.1021/ja905793q,Inorganic,Hybrid,Systemic,IV,2,NA,Spherical,Polymer,>1,Drugs,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None
20092887,Biomaterials,2010,10.1016/j.biomaterials.2010.01.010,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Proteins-Drugs,>1,None,None,NA,NA,NA,8.45,Yes,NA,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,Liver,Spleen,Kidney,None,None,None,None,Diagnostic,MRI,PET,Other,None
20180585,ACS Nano,2010,10.1021/nn901297q,Inorganic,Silica,Systemic,IV,2,Neutral,Spherical,Polymer-proteins,>1,Other,1,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Pancreas,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Other,None,None,None
20183810,Small,2010,10.1002/smll.200901557,Inorganic,Hybrid,Systemic,IV,3,NA,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Colon,1,Single,NA,1838.292683,151.3865935,13.40348541,Spleen,Liver,Muscle,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
20232826,ACS Nano,2010,10.1021/nn100190v,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-Drugs,>1,None,None,10,2,NA,NA,NA,NA,Xenograft heterotopic,Other,1,Single,NA,NA,NA,NA,Liver,Kidney,Spleen,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
20434209,Biomaterials,2010,10.1016/j.biomaterials.2010.03.072,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Other,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None
20580427,Biomaterials,2010,10.1016/j.biomaterials.2010.06.008,Inorganic,Iron_oxide,Systemic,IV,3,Neutral,Spherical,None,None,Drugs-NPs,>1,2000,4,NA,NA,NA,NA,Xenograft orthotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
20599526,Nanomedicine,2010,10.1016/j.nano.2010.06.005,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Pancreas,1,Single,NA,NA,NA,NA,Spleen,Kidney,Urinary bladder,Chemotherapy,None,None,Single,Diagnostic,MRI,Fluorescence,None,None
