PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
17530850,Gold,NA,NA
17892287,Iron_oxide,NA,Lung
17962085,Gold,4176.2,Spleen
17964647,Iron_oxide,NA,NA
18232053,Iron_oxide,NA,NA
18551493,Iron_oxide,NA,Liver
18642918,Gold,NA,NA
18676207,Iron_oxide,NA,NA
18817971,Gold,157.5,Liver
19072129,Gold,NA,NA
19089838,Iron_oxide,NA,Liver
19131103,Gold,457.2,Liver
19263431,Iron_oxide,283.5443038,Spleen
19508879,Iron_oxide,NA,NA
19524625,Iron_oxide,NA,NA
19619590,Gold,NA,NA
19773081,Iron_oxide,NA,Kidney
19782394,Iron_oxide,NA,NA
19783295,Iron_oxide,562.8571429,Liver
19878991,Iron_oxide,NA,NA
19914401,Gold,4.6,Liver
19915570,Gold,NA,NA
20017538,Hybrid,NA,NA
20092887,Iron_oxide,NA,Liver
20180585,Silica,NA,NA
20183810,Hybrid,1838.292683,Spleen
20232826,Iron_oxide,NA,Liver
20434209,Iron_oxide,NA,NA
20580427,Iron_oxide,NA,NA
20599526,Iron_oxide,NA,Spleen
20623530,Silica,NA,Lung
20630586,Gold,NA,NA
20681684,Silica,NA,NA
20731439,Gold,NA,NA
20738120,Iron_oxide,NA,NA
20815402,Silica,NA,NA
20835443,Gold,NA,NA
20878636,Hybrid,4839.7,Liver
20886481,Silica,NA,NA
20939602,Iron_oxide,NA,NA
20970851,Iron_oxide,NA,NA
20973487,Silica,NA,NA
21043459,Iron_oxide,NA,NA
21147502,Iron_oxide,NA,NA
21176955,Iron_oxide,NA,NA
21257200,Iron_oxide,1211.465893,Spleen
21272668,Gold,NA,NA
21277019,Gold,NA,NA
21277630,Iron_oxide,NA,Lung
21333751,Iron_oxide,186.6666667,Liver
21344891,Gold,NA,NA
21458063,Hybrid,NA,NA
21486679,Silica,NA,NA
21550654,Iron_oxide,NA,NA
21645920,Iron_oxide,NA,NA
21648076,Iron_oxide,NA,NA
21675727,Silica,NA,NA
21688390,Gold,NA,NA
21703996,Silica,NA,NA
21745689,Hybrid,1600,Liver
21756949,Silica,3.24,Liver
21783245,Iron_oxide,NA,NA
21801769,Hybrid,NA,Liver
21816467,Silica,NA,NA
21854047,Silica,NA,NA
21892492,Silica,12.4,Liver
21909083,Iron_oxide,NA,NA
21981330,Silica,NA,NA
22027594,Hybrid,NA,NA
22061490,Gold,13761.9,Spleen
22063003,Gold,NA,NA
22133237,Iron_oxide,NA,NA
22177841,Silica,NA,Liver
22271594,Gold,NA,NA
22300621,Iron_oxide,NA,NA
